NAICS12, INDEX ITEM DESCRIPTION ,SIC
311119," Alfalfa, cubed, manufacturing ",
311119, Animal feed mills (except dog and cat) manufacturing ,
311119," Animal feeds, prepared (except dog and cat), manufacturing ",
311119," Barley feed, chopped, crushed or ground, manufacturing ",
311119," Bird feed, prepared, manufacturing ",
311119, Blending animal feed ,
311119, Bone meal prepared as feed for animals and fowls ,
311119," Cattle feeds, supplements, concentrates, and premixes, manufacturing ",
311119," Chicken feeds, prepared, manufacturing ",
311119," Citrus pulp, cattle feed, manufacturing ",
311119," Complete feed, livestock, manufacturing ",
311119, Custom milling of animal feed ,
311119," Dairy cattle feeds supplements, concentrates, and premixes, manufacturing ",
311119, Earthworm food and bedding manufacturing ,
311119," Feed concentrates, animal, manufacturing ",
311119," Feed premixes, animal, manufacturing ",
311119," Feed supplements, animal (except cat, dog), manufacturing ",
311119," Feeds, prepared, for animals (except cat, dog) manufacturing ",
311119,"Feeds, specialty (e.g., guinea pig, mice, mink), manufacturing",
311119, Fish food for feeding fish manufacturing ,
311119," Grain grinding, custom, for animal feed ",
311119," Grain mills, animal feed ",
311119," Hay, cubed, manufacturing ",
311119," Kelp meal and pellets, animal feed manufacturing ",
311119, Laboratory animal feed manufacturing ,
311119," Livestock feeds, supplements, concentrates and premixes, manufacturing ",
311119," Meal, alfalfa, manufacturing ",
311119," Meal, bone, prepared as feed for animals and fowls, manufacturing ",
311119," Micro and macro premixes, livestock, manufacturing ",
311119," Mineral feed supplements (except cat, dog) manufacturing ",
311119," Mineral supplements, animal (except cat, dog), manufacturing ",
311119, Mobile feed mill ,
311119," Pet food (except cat, dog) manufacturing ",
311119," Poultry feeds, supplements, and concentrates manufacturing ",
311119, Rabbit food manufacturing ,
311119, Shell crushing and grinding for animal feed ,
311119, Shell crushing for feed ,
311119," Swine feed, complete, manufacturing ",
311119," Swine feed, supplements, concentrates, and premixes, manufacturing ",
311119," Turkey feeds, prepared, manufacturing ",
311211, Barley flour manufacturing ,
311211," Batters, prepared, made in flour mills ",
311211, Blended flour made in flour mills ,
311211," Brewers' and distillers' flakes and grits, corn, manufacturing ",
311211, Buckwheat flour manufacturing ,
311211,Bulgur (flour) manufacturing,
311211, Cereal grain flour manufacturing ,
311211, Cereal grain germ manufacturing ,
311211, Corn flour manufacturing ,
311211, Corn meal made in flour mills ,
311211," Doughs, prepared, made in flour mills ",
311211, Durum flour manufacturing ,
311211, Farina (except breakfast food) made in flour mills ,
311211," Flour mills, cereals grains (except breakfast cereals, rice) ",
311211, Flour mixes made in flour mills ,
311211," Flour, blended, prepared, or self-rising (except rice), made in flour mills ",
311211," Fruit flour, meal, and powders, manufacturing ",
311211, Graham flour manufacturing ,
311211," Grain mills (except animal feed, breakfast cereal, rice) ",
311211," Grits and flakes, corn brewer's, manufacturing ",
311211," Hominy grits (except breakfast food), manufacturing ",
311211," Meal, corn, for human consumption made in flour mills ",
311211,"Mixes, flour (e.g., biscuit, cake, doughnut, pancake) made in flour mills",
311211, Oat flour manufacturing ,
311211, Potato flour manufacturing ,
311211, Prepared flour mixes made in flour mills ,
311211, Rye flour manufacturing ,
311211, Semolina flour manufacturing ,
311211, Sorghum flour manufacturing ,
311211, Vegetable flour manufacturing ,
311211," Vegetable flour, meal, and powders, made in flour mills ",
311211, Wheat bran manufacturing ,
311211, Wheat flour manufacturing ,
311211, Wheat germ manufacturing ,
311212, Bran and other residues of milling rice ,
311212, Brewers' rice manufacturing ,
311212, Cleaning and polishing rice ,
311212," Flour, rice, manufacturing ",
311212," Grain mills, rice ",
311212, Head rice manufacturing ,
311212, Milling rice ,
311212, Polished rice manufacturing ,
311212," Rice bran, flour, and meals, manufacturing ",
311212, Rice cleaning and polishing ,
311212, Rice flour manufacturing ,
311212, Rice meal manufacturing ,
311212, Rice milling ,
311212,"Rice mixes (i.e., uncooked and packaged with other ingredients) made in rice mills",
311212," Rice, brewer's, manufacturing ",
311212," Rice, brown, manufacturing ",
311213," Barley, malt, manufacturing ",
311213, Brewers' malt manufacturing ,
311213," Corn, malt, manufacturing ",
311213, Distiller's malt manufacturing ,
311213," Flour, malt, manufacturing ",
311213, Malt flour manufacturing ,
311213, Malt manufacturing ,
311213, Malt sprouts manufacturing ,
311213, Malting (germinating and drying grains) ,
311213, Rice malt manufacturing ,
311213, Rye malt manufacturing ,
311213, Wheat malt manufacturing ,
311221,Corn dextrin manufacturing,
311221, Corn gluten feed manufacturing ,
311221, Corn gluten meal manufacturing ,
311221, Corn oil cake and meal manufacturing ,
311221, Corn oil mills ,
311221," Corn oil, crude and refined, made by wet milling corn ",
311221, Corn starch manufacturing ,
311221,"Corn sweeteners (e.g., dextrose, fructose, glucose) made by wet milling corn",
311221, Crude corn oil manufacturing ,
311221,Dextrin made by wet milling corn,
311221," Gluten feed, flour, and meal, made by wet milling corn ",
311221, Gluten manufacturing ,
311221, HFCS (high fructose corn syrup) manufacturing ,
311221, High fructose corn syrup (HFCS) manufacturing ,
311221,Maltodextrins manufacturing,
311221, Margarine and other corn oils made by wet milling corn ,
311221," Oil, corn crude and refined, made by wet milling corn ",
311221, Potato starches manufacturing ,
311221, Rice starches manufacturing ,
311221, Root starches manufacturing ,
311221, Starches (except laundry) manufacturing ,
311221,Steepwater concentrate manufacturing,
311221, Sugar made by wet milling corn ,
311221," Syrup, corn, made by wet milling ",
311221," Table oil, corn, made by wet milling ",
311221, Tapioca manufacturing ,
311221, Vegetable starches manufacturing ,
311221, Wet milling corn and other vegetables ,
311224,"Canola (rapeseed) oil, cake and meal, made in crushing mills",
311224,Castor oil and pomace made in crushing mills,
311224, Coconut oil made in crushing mills ,
311224," Cottonseed oil, cake and meal, made in crushing mills ",
311224, Flaxseed oil made in crushing mills ,
311224," Lecithin, cottonseed, made in crushing mills ",
311224," Lecithin, soybean, made in crushing mills ",
311224," Linseed oil, cake and meal, made in crushing mills ",
311224, Olive oil made in crushing mills ,
311224," Palm-kernel oil, cake, and meal made in crushing mills ",
311224," Peanut cake, meal, and oil made in crushing mills ",
311224,"Rapeseed (i.e., canola) oil made in crushing mills",
311224, Safflower oil made in crushing mills ,
311224,Shortening made in crushing mills,
311224, Soybean cakes and meal manufacturing ,
311224, Soybean flour and grits manufacturing ,
311224,Soybean millfeed made in oil mills,
311224, Soybean oil mills ,
311224," Soybean oil, cake, and meal, made in crushing mills ",
311224," Soybean oil, crude, manufacturing ",
311224," Soybean oil, deodorized, made in oil mills ",
311224," Soybean oil, refined, made in crushing mills ",
311224, Soybean protein concentrates made in crushing mills ,
311224, Soybean protein isolates made in crushing mills ,
311224," Sunflower seed oil, cake and meal, made in crushing mills ",
311224,"Tree nut oils (e.g., tung, walnut) made in crushing mill",
311224,Vegetable oils made in crushing mills,
311225,"Canola (rapeseed) oil, cake and meal, made from purchased oils",
311225, Coconut oil made from purchased oils ,
311225, Corn oil made from purchased oils ,
311225, Cottonseed oil made from purchased oils ,
311225, Flaxseed oil made from purchased oils ,
311225," Grease, inedible, animal and vegetable, refining and blending purchased oils ",
311225, Hydrogenating purchased oil ,
311225, Lecithin made from purchased oils ,
311225, Linseed oil made from purchased oils ,
311225, Margarine-butter blend made from purchased fats and oils ,
311225, Margarines (including imitation) made from purchased fats and oils ,
311225," Oil, olive, made from purchased oils ",
311225,"Oil, vegetable stearin, made from purchased oils",
311225, Olive oil made from purchased oils ,
311225, Palm-kernel oil made from purchased oils ,
311225, Peanut oil made from purchased oils ,
311225,"Rapeseed (i.e., canola) oil made from purchased oils",
311225, Safflower oil made from purchased oils ,
311225, Shortening made from purchased fats and oils ,
311225, Soybean cooking oil made from purchased oils ,
311225, Table oil made from purchased oils ,
311225,"Tree nut oils (e.g., tung, walnut) made from purchased oils",
311225, Vegetable oils made from purchased oils ,
311230, Breakfast cereals manufacturing ,
311230, Corn breakfast foods manufacturing ,
311230," Farina, breakfast cereal, manufacturing ",
311230," Flour mills, breakfast cereal, manufacturing ",
311230," Grain mills, breakfast cereal ",
311230," Grain, breakfast cereal, manufacturing ",
311230," Granola, cereal (except bars and clusters), manufacturing ",
311230," Hominy grits, prepared as cereal breakfast food, manufacturing ",
311230," Infant cereals, dry, manufacturing ",
311230, Instant hot cereals manufacturing ,
311230, Mix grain breakfast manufacturing ,
311230,"Oatmeal (i.e., cereal breakfast food) manufacturing",
311230," Oats, breakfast cereal, manufacturing ",
311230,"Oats, rolled (i.e., cereal breakfast food), manufacturing",
311230, Rice breakfast foods manufacturing ,
311230, Wheat breakfast cereal manufacturing ,
311313," Beet pulp, dried, manufacturing ",
311313, Beet sugar refining ,
311313, Brown beet sugar refining ,
311313, Brown sugar made from beet sugar ,
311313, Confectioner's beet sugar manufacturing ,
311313, Granulated beet sugar manufacturing ,
311313, Liquid beet syrup manufacturing ,
311313, Liquid sugar made from beet sugar ,
311313, Molasses made from sugar beets ,
311313, Raw beet sugar manufacturing ,
311313," Sugar, confectionery, made from sugar beets ",
311313," Sugar, granulated, made from sugar beets ",
311313," Sugar, invert, made from sugar beets ",
311313," Sugar, liquid, made from sugar beets ",
311313, Syrup made from sugar beets ,
311314,Blackstrap molasses manufacturing,
311314, Brown sugar manufacturing ,
311314, Cane sugar manufacturing ,
311314, Cane syrup manufacturing ,
311314, Confectioner's powdered sugar manufacturing ,
311314, Granulated cane sugar manufacturing ,
311314, Invert sugar manufacturing ,
311314, Liquid sugar manufacturing ,
311314, Molasses manufacturing ,
311314,"Molasses, blackstrap, manufacturing",
311314," Sugar, cane, manufacturing ",
311314," Sugar, clarified, granulated, and raw, manufacturing ",
311314," Sugar, confectionery, manufacturing ",
311314," Sugar, granulated, manufacturing ",
311314," Sugar, invert, manufacturing ",
311314," Sugar, raw, manufacturing ",
311314," Sugar, refined, manufacturing ",
311314, Sugarcane mills ,
311314, Sugarcane refining ,
311314," Syrup, cane, manufacturing ",
311340,"Breakfast bars, nonchocolate covered, manufacturing",
311340," Cake ornaments, confectionery, manufacturing ",
311340, Candied fruits and fruit peel manufacturing ,
311340,"Candy bars, nonchocolate, manufacturing",
311340,"Candy stores, nonchocolate, candy made on premises, not for immediate consumption",
311340, Chewing gum base manufacturing ,
311340, Chewing gum manufacturing ,
311340,"Confectionery, nonchocolate, manufacturing",
311340, Corn confections manufacturing ,
311340, Cough drops (except medicated) manufacturing ,
311340, Crystallized fruits and fruit peel manufacturing ,
311340," Dates, sugared and stuffed, manufacturing ",
311340,"Fruit peel products (e.g., candied, crystallized, glace, glazed) manufacturing",
311340,"Fruits (e.g., candied, crystallized, glazed) manufacturing",
311340,"Fudge, nonchocolate, manufacturing",
311340,"Granola bars and clusters, nonchocolate, manufacturing",
311340," Gum, chewing, manufacturing ",
311340,Halvah manufacturing,
311340, Hard candies manufacturing ,
311340, Jelly candies manufacturing ,
311340, Licorice candy manufacturing ,
311340,"Lozenges, nonmedicated, candy, manufacturing",
311340, Marshmallow creme manufacturing ,
311340, Marshmallows manufacturing ,
311340,"Marzipan (i.e., candy) manufacturing",
311340," Nuts, covered (except chocolate covered), manufacturing ",
311340, Popcorn balls manufacturing ,
311340," Popcorn, candy covered popped, manufacturing ",
311340, Synthetic chocolate manufacturing ,
311340, Toffee manufacturing ,
311351, Baking chocolate made from cacao beans ,
311351," Candy bars, chocolate (including chocolate covered), made from cacao beans ",
311351," Candy, chocolate, made from cacao beans ",
311351,"Chocolate (e.g.,  coatings, instant, liquor, syrups) made from cacao beans",
311351, Chocolate bars made from cocoa beans ,
311351," Chocolate, confectionery, made from cacao beans ",
311351," Coatings, chocolate, made from cacao beans ",
311351,"Cocoa (e.g., instant, mix, mixed with other ingredients, powder drink, powdered) made from cacao beans",
311351, Cocoa butter made from cocoa beans ,
311351, Confectionery chocolate made from cacao beans ,
311351, Cooking chocolate made from cacao beans ,
311351," Drink powdered mixes, cocoa, made from cacao ",
311351," Fudge, chocolate, made from cacao beans ",
311351," Granola bars and clusters, chocolate, made from cacao beans ",
311351," Liquor, chocolate, made from cacao beans ",
311351," Nuts, chocolate covered, made from cacao beans ",
311351," Syrup, chocolate, made from cacao beans ",
311352, Baking chocolate made from purchased chocolate ,
311352," Candy stores, chocolate, candy made on premises not for immediate consumption ",
311352," Chocolate (coating, instant, liquor, syrups) made from purchased chocolate ",
311352, Chocolate coatings and syrups made from purchased chocolate ,
311352, Chocolate covered candy bars made from purchased chocolate ,
311352, Chocolate covered granola bars made from purchased chocolate ,
311352," Cocoa, powdered drink, prepared, made from purchased chocolate ",
311352," Cocoa, powdered, made from purchased chocolate ",
311352," Cocoa, powdered, mixed with other ingredients, made from purchased chocolate ",
311352," Drink powdered mixes, cocoa, made from purchased cocoa ",
311352," Fudge, chocolate, made from purchased chocolate ",
311352," Granola bars and clusters, chocolate, made from purchased chocolate ",
311352," Liquor, chocolate, made from purchased chocolate ",
311352," Nuts, chocolate covered, made from purchased chocolate ",
311352," Syrup, chocolate, made from purchased chocolate ",
311411, Blast freezing on a contract basis ,
311411," Citrus pulp, frozen, manufacturing ",
311411," Concentrates, frozen fruit juice, manufacturing ",
311411,"French fries, frozen, pre-cooked, manufacturing",
311411,"Frozen ades, drinks and cocktail mixes, manufacturing",
311411, Frozen citrus pulp manufacturing ,
311411, Frozen fruit and vegetable processing ,
311411," Frozen fruits, fruit juices, and vegetables, manufacturing ",
311411," Fruit juice concentrates, frozen, manufacturing ",
311411," Fruits, frozen, manufacturing ",
311411," Juices, fruit or vegetable concentrates, frozen, manufacturing ",
311411," Juices, fruit or vegetable, frozen, manufacturing ",
311411," Vegetable juice concentrates, frozen, manufacturing ",
311411," Vegetables, frozen, manufacturing ",
311412,"Chop suey, frozen, manufacturing",
311412,"Chow mein, frozen, manufacturing",
311412," Dinners, frozen (except seafood-based), manufacturing ",
311412," French toast, frozen, manufacturing ",
311412, Frozen dinners (except seafood-based) manufacturing ,
311412,"Frozen food entrees (except seafood based), packaged, manufacturing",
311412, Frozen pizza manufacturing ,
311412, Frozen pot pies manufacturing ,
311412, Frozen rice dishes manufacturing ,
311412, Frozen side dishes manufacturing ,
311412, Frozen soups (except seafood) manufacturing ,
311412, Frozen waffles manufacturing ,
311412," Macaroni, frozen, manufacturing ",
311412," Mexican foods, frozen, manufacturing ",
311412," Nationality specialty foods, frozen, manufacturing ",
311412," Pancakes, frozen, manufacturing ",
311412," Pizzas, frozen, manufacturing ",
311412," Pot pies, frozen, manufacturing ",
311412," Soups, frozen (except seafood), manufacturing ",
311412," Waffles, frozen, manufacturing ",
311412," Whipped topping, frozen, manufacturing ",
311421," Artichokes, canned, manufacturing ",
311421, Barbecue sauce manufacturing ,
311421," Berries, canned, manufacturing ",
311421," Beverages, fruit and vegetable juice, manufacturing ",
311421, Brining of fruits and vegetables ,
311421, Canning fruits and vegetables ,
311421, Canning jams and jellies ,
311421,Catsup manufacturing,
311421, Chili sauce manufacturing ,
311421, Fruit brining ,
311421, Fruit butters manufacturing ,
311421, Fruit juice canning ,
311421," Fruit juices, fresh, manufacturing ",
311421, Fruit pickling ,
311421," Fruit pie fillings, canning ",
311421, Fruits pickling ,
311421," Fruits, canned, manufacturing ",
311421," Hominy, canned, manufacturing ",
311421, Horseradish (except sauce) canning ,
311421, Jellies and jams manufacturing ,
311421," Juices, fruit or vegetable, canned manufacturing ",
311421," Juices, fruit or vegetable, fresh, manufacturing ",
311421, Ketchup manufacturing ,
311421, Marmalade manufacturing ,
311421, Mushrooms canning ,
311421, Olives brined ,
311421, Onions pickled ,
311421," Pastes, fruit and vegetable, canning ",
311421, Pickles manufacturing ,
311421, Pickling fruits and vegetables ,
311421,"Preserves (e.g., imitation) canning",
311421, Relishes canning ,
311421, Salsa canning ,
311421," Sauces, tomato-based, canning ",
311421, Sauerkraut manufacturing ,
311421, Spaghetti sauce canning ,
311421, Vegetable brining ,
311421, Vegetable canning ,
311421, Vegetable juices canning ,
311421," Vegetable juices, fresh, manufacturing ",
311421, Vegetables pickling ,
311422, Baby foods (including meats) canning ,
311422, Baked beans canning ,
311422," Beans, baked, canning ",
311422, Bouillon canning ,
311422, Broth (except seafood) canning ,
311422, Canning soups (except seafood) ,
311422,Chili con carne canning,
311422, Chinese foods canning ,
311422, Dry beans canning ,
311422, Gravy canning ,
311422, Infant and junior food canning ,
311422, Italian foods canning ,
311422," Meat canning, baby food, manufacturing ",
311422, Mexican foods canning ,
311422, Nationality specialty foods canning ,
311422, Pasta based products canning ,
311422, Pork and beans canning ,
311422, Soups (except seafood) canning ,
311422, Spaghetti canning ,
311423, Bouillon made in dehydration plants ,
311423," Dates, dried, made in dehydration plant ",
311423, Dehydrating fruits and vegetables ,
311423,"Dehydrating potato products (e.g., flakes, granules)",
311423," Freeze-dried, food processing, fruits and vegetables ",
311423," Fruit and vegetables, dehydrating, manufacturing ",
311423, Fruits dehydrating (except sun drying) ,
311423," Grapes, artificially drying ",
311423, Noodle mixes made in dehydration plants ,
311423," Olives, dried, made in dehydration plant ",
311423,"Potato products (e.g., flakes, granules) dehydrating",
311423," Prunes, dried, made in dehydration plants ",
311423, Raisins made in dehydration plants ,
311423,"Rice mixes (i.e., uncooked and packaged with other ingredients) made in dehydration plants",
311423," Salad dressing mixes, dry, made in a dehydration plant ",
311423," Sauce mixes, dry, made in dehydration plants ",
311423, Soup mixes made in a dehydration plant ,
311423,Sulphured fruits and vegetables manufacturing,
311423, Vegetables dehydrating ,
311511,Acidophilus milk manufacturing,
311511," Beverages, milk based (except dietary), manufacturing ",
311511, Buttermilk manufacturing ,
311511," Cheese, cottage,  manufacturing ",
311511, Chocolate drink (milk based) manufacturing ,
311511, Chocolate milk manufacturing ,
311511, Cottage cheese manufacturing ,
311511, Cream manufacturing ,
311511," Dips, sour cream based, manufacturing ",
311511," Drink, chocolate milk, manufacturing ",
311511," Eggnog, fresh, nonalcoholic, manufacturing ",
311511," Eggnog, nonalcoholic (except canned), manufacturing ",
311511, Flavored milk drinks manufacturing ,
311511, Fluid milk substitutes processing ,
311511, Homogenizing milk ,
311511, Milk based drinks (except dietary) manufacturing ,
311511," Milk drink, chocolate, manufacturing ",
311511, Milk pasteurizing ,
311511,"Milk processing (e.g., bottling, homogenizing, pasteurizing, vitaminizing) manufacturing",
311511, Milk substitutes manufacturing ,
311511,"Milk, acidophilus, manufacturing",
311511," Milk, fluid (except canned), manufacturing ",
311511," Nondairy creamers, liquid, manufacturing ",
311511, Pasteurizing milk ,
311511, Sour cream manufacturing ,
311511, Sour cream substitutes manufacturing ,
311511," Whipped topping (except dry mix, frozen) manufacturing ",
311511, Whipping cream manufacturing ,
311511, Yogurt (except frozen) manufacturing ,
311512, Anhydrous butterfat manufacturing ,
311512, Butter manufacturing ,
311512," Butter, creamery and whey, manufacturing ",
311512, Creamery butter manufacturing ,
311512, Whey butter manufacturing ,
311513, Cheese (except cottage cheese) manufacturing ,
311513, Cheese analogs manufacturing ,
311513," Cheese products, imitation or substitute, manufacturing ",
311513, Cheese spreads manufacturing ,
311513," Cheese, imitation or substitute, manufacturing ",
311513," Cheese, natural (except cottage cheese), manufacturing ",
311513," Curds, cheese, made in a cheese plant, manufacturing ",
311513," Dips, cheese based, manufacturing ",
311513, Processed cheeses manufacturing ,
311513," Spreads, cheese, manufacturing ",
311513," Whey, raw, liquid, manufacturing ",
311514," Baby formula, fresh, processed, and bottled, manufacturing ",
311514," Beverages, dietary, dairy and nondairy based ",
311514," Casein, dry and wet, manufacturing ",
311514, Condensed milk manufacturing ,
311514," Condensed, evaporated or powdered whey, manufacturing ",
311514," Cream, dried and powdered, manufacturing ",
311514, Dairy food canning ,
311514, Dehydrated milk manufacturing ,
311514," Dietary drinks, dairy and nondairy based, manufacturing ",
311514, Dry milk manufacturing ,
311514, Dry milk products and mixture manufacturing ,
311514, Dry milk products for animal feed manufacturing ,
311514," Eggnog, canned, nonalcoholic, manufacturing ",
311514, Evaporated milk manufacturing ,
311514, Feed grade dry milk products manufacturing ,
311514, Ice cream mix manufacturing ,
311514, Ice milk mix manufacturing ,
311514, Infant's formulas manufacturing ,
311514, Lactose manufacturing ,
311514, Malted milk manufacturing ,
311514," Milk based drinks, dietary, manufacturing ",
311514," Milk, concentrated, condensed, dried, evaporated, and powdered, manufacturing ",
311514," Milk, malted, manufacturing ",
311514," Milk, powdered, manufacturing ",
311514," Milk, ultra-high temperature, manufacturing ",
311514, Milkshake mixes manufacturing ,
311514," Mix, ice cream, manufacturing ",
311514," Nondairy creamers, dry, manufacturing ",
311514, Nonfat dry milk manufacturing ,
311514, Powdered milk manufacturing ,
311514, UHT (ultra high temperature) milk manufacturing ,
311514," Whey, condensed, dried, evaporated, and powdered, manufacturing ",
311514," Whipped topping, dry mix, manufacturing ",
311514, Yogurt mix manufacturing ,
311520," Custard, frozen, manufacturing ",
311520," Desserts, frozen (except bakery), manufacturing ",
311520, Frozen custard manufacturing ,
311520, Frozen desserts (except bakery) manufacturing ,
311520," Fruit pops, frozen, manufacturing ",
311520, Ice cream manufacturing ,
311520, Ice cream specialties manufacturing ,
311520, Ice milk manufacturing ,
311520, Ice milk specialties manufacturing ,
311520," Ices, flavored sherbets, manufacturing ",
311520," Juice pops, frozen, manufacturing ",
311520," Pudding pops, frozen, manufacturing ",
311520, Sherbets manufacturing ,
311520, Tofu frozen desserts manufacturing ,
311520," Yogurt, frozen, manufacturing ",
311611, Abattoirs ,
311611, Animal fats (except poultry and small game) produced in slaughtering plants ,
311611," Bacon, slab and sliced, produced in slaughtering plants ",
311611," Beef carcasses, half carcasses, primal and sub-primal cuts, produced in slaughtering plants ",
311611, Beef produced in slaughtering plants ,
311611, Boxed beef produced in slaughtering plants ,
311611, Boxed meats produced in slaughtering plants ,
311611, Canned meats (except poultry) produced in slaughtering plants ,
311611, Cured hides and skins produced in slaughtering plants ,
311611, Custom slaughtering ,
311611," Fats, animal (except poultry, small game), produced in slaughtering plants ",
311611, Hams (except poultry) produced in slaughtering plants ,
311611, Hides and skins produced in slaughtering plants ,
311611,Horsemeat produced in slaughtering plants,
311611, Hot dogs (except poultry) produced in slaughtering plants ,
311611,"Inedible products (e.g., hides, skins, pulled wool, wool grease) produced in slaughtering plants",
311611," Lamb carcasses, half carcasses, primal and sub-primal cuts, produced in slaughtering plants ",
311611, Lard produced in slaughtering plants ,
311611, Luncheon meat (except poultry) produced in slaughtering plants ,
311611, Meat canning (except poultry) produced in slaughtering plants ,
311611," Meats fresh, chilled or frozen (except poultry and small game), produced in slaughtering plants ",
311611," Meats, cured or smoked, produced in slaughtering plants ",
311611," Pork carcasses, half carcasses, and primal and sub-primal cuts produced in slaughtering plants ",
311611," Sausage casings, natural, produced in slaughtering plant ",
311611," Slaughtering, custom ",
311611, Tallow produced in a slaughtering plant ,
311611," Variety meats, edible organs, made in slaughtering plants ",
311611," Veal carcasses, half carcasses, primal and sub-primal cuts, produced in slaughtering plants ",
311612," Bacon, slab and sliced, made from purchased carcasses ",
311612, Beef stew made from purchased carcasses ,
311612," Beef, primal and sub-primal cuts, made from purchased carcasses ",
311612, Bologna made from purchased carcasses ,
311612, Boxed beef made from purchased carcasses ,
311612, Boxed meat produced from purchased carcasses ,
311612, Collagen sausage casings made from purchased hides ,
311612, Cooked meats made from purchased carcasses ,
311612, Corned meats made from purchases carcasses ,
311612,"Cured meats (e.g., brined, dried, and salted) made from purchased carcasses",
311612, Dried meats made from purchased carcasses ,
311612,"Frozen meat pies (i.e., tourtires) made from purchased carcasses",
311612," Hams, canned, made from purchased carcasses ",
311612," Hams, preserved (except poultry), made from purchased carcasses ",
311612, Hot dogs (except poultry) made from purchased carcasses ,
311612," Lamb, primal and sub-primal cuts, made from purchased carcasses ",
311612, Luncheon meat (except poultry) made from purchased carcasses ,
311612," Meat canning (except baby, pet food, poultry), made from purchased carcasses ",
311612, Meat extracts made from purchased carcasses ,
311612," Meat products canning (except baby, pet food, poultry) made from purchased carcasses ",
311612," Meats (except poultry), cured or smoked, made from purchased carcasses ",
311612," Meats, fresh or chilled  (except poultry and small game), frozen, made from purchased carcasses ",
311612, Pastrami made from purchased carcasses ,
311612," Pig's feet, cooked and pickled, made from purchased carcasses ",
311612," Pork, primal and sub-primal cuts, made from purchased carcasses ",
311612, Potted meats made from purchased carcasses ,
311612, Processed meats manufacturing ,
311612, Salted meats made from purchased carcasses ,
311612," Sandwich spreads, meat, made from purchased carcasses ",
311612, Sausage and similar cased products made from purchased carcasses ,
311612," Sausage casings, collagen, made from purchased hides ",
311612, Smoked meats made from purchased carcasses ,
311612," Variety meats, edible organs, made from purchased meats ",
311612," Veal, primal and sub-primal cuts, made from purchased carcasses ",
311613, Animal fats rendering ,
311613, Animal oil rendering ,
311613," Bones, fat, rendering ",
311613," Fats, animal, rendering ",
311613, Grease rendering ,
311613, Lard made from purchased fat ,
311613,"Meat and bone meal and tankage, produced in rendering plant",
311613,Neatsfoot oil rendering,
311613," Oil, animal, rendering ",
311613, Rendering animals (carrion) for feed ,
311613, Rendering fats ,
311613, Rendering plants ,
311613,"Stearin, animal, rendering",
311613, Tallow produced in rendering plant ,
311615, Canning poultry (except baby and pet food) ,
311615," Chickens, processing, fresh, frozen, canned, or cooked (except baby and pet food) ",
311615," Chickens, slaughtering and dressing ",
311615, Dressing small game ,
311615," Ducks, processing, fresh, frozen, canned, or cooked ",
311615," Ducks, slaughtering and dressing ",
311615," Geese, processing, fresh, frozen, canned, or cooked ",
311615," Geese, slaughtering and dressing ",
311615," Hams, poultry, manufacturing ",
311615," Hot dogs, poultry, manufacturing ",
311615," Luncheon meat, poultry, manufacturing ",
311615," Meat canning, poultry (except baby and pet food), manufacturing ",
311615,"Meat products (e.g., hot dogs, luncheon meats, sausages) made from a combination of poultry and other meats",
311615,"Poultry (e.g., canned, cooked, fresh, frozen) manufacturing",
311615,"Poultry (e.g., canned, cooked, fresh, frozen) processing",
311615," Poultry canning (except baby, pet food) ",
311615," Poultry slaughtering, dressing, and packing ",
311615, Processed poultry manufacturing ,
311615,"Rabbits processing (i.e., canned, cooked, fresh, frozen)",
311615, Rabbits slaughtering and dressing ,
311615," Small game, processing, fresh, frozen, canned or cooked ",
311615," Small game, slaughtering, dressing and packing ",
311615," Turkeys, processing, fresh, frozen, canned, or cooked ",
311615," Turkeys, slaughtering and dressing ",
311710," Cannery, seafood ",
311710,"Canning, fish, crustacea, and molluscs",
311710," Chowders, seafood, manufacturing ",
311710," Cod liver oil extraction, crude, processing ",
311710, Curing fish and seafood ,
311710," Dinners, frozen seafood, manufacturing ",
311710, Drying fish and seafood ,
311710, Fish and marine animal oils processing ,
311710, Fish egg bait canning ,
311710,"Fish freezing (e.g., blocks, fillets, ready-to-serve products)",
311710, Fish manufacturing ,
311710, Fish meal processing ,
311710," Fish, curing, drying, pickling, salting, and smoking ",
311710,"Freezing fish (e.g., blocks, fillets, ready-to-serve products)",
311710, Picking crab meat ,
311710, Seafood and seafood products canning ,
311710, Seafood and seafood products curing ,
311710, Seafood and seafood products manufacturing ,
311710," Seafood dinners, frozen, manufacturing ",
311710,"Seaweed processing (e.g., dulse)",
311710, Shellfish and shellfish products canning ,
311710, Shellfish and shellfish products manufacturing ,
311710, Shellfish curing ,
311710, Shucking and packing fresh shellfish ,
311710," Soups, seafood, manufacturing ",
311710,Surimi manufacturing,
311811," Bakeries with baking from flour on the premises, retailing not for immediate consumption ",
311812, Bagels made in commercial bakeries ,
311812,"Bakery products, fresh (i.e., bread, cakes, doughnuts, pastries), made in commercial bakeries",
311812," Biscuits, bread-type, made in commercial bakeries ",
311812, Bread and bread-type rolls made in commercial bakeries ,
311812," Cakes, baking (except frozen), made in commercial bakeries ",
311812, Commercial bakeries ,
311812, Communion wafer manufacturing ,
311812," Croissants, baking, made in commercial bakeries ",
311812,Croutons and bread crumbs made in commercial bakeries,
311812, Crullers (except frozen) made in commercial bakeries ,
311812,Doughnuts (except frozen) made in commercial bakeries,
